"id","kind","file","line","owner","mysql_pattern_category","postgres_target_design","source_snippet","test_status"
"S1-SQL-041","sql_tag","server/articleDataHelper.ts","26","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","avgPrice: sql<number>`AVG(CAST(${priceHistory.price} AS DECIMAL(10,2)))`,","not_started"
"S1-SQL-042","sql_tag","server/articleDataHelper.ts","27","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","minPrice: sql<number>`MIN(CAST(${priceHistory.price} AS DECIMAL(10,2)))`,","not_started"
"S1-SQL-043","sql_tag","server/articleDataHelper.ts","28","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","maxPrice: sql<number>`MAX(CAST(${priceHistory.price} AS DECIMAL(10,2)))`,","not_started"
"S1-SQL-044","sql_tag","server/articleDataHelper.ts","29","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","count: sql<number>`COUNT(*)`,","not_started"
"S1-SQL-045","sql_tag","server/articleDataHelper.ts","40","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".having(sql`COUNT(*) >= 3`); // At least 3 transactions","not_started"
"S1-SQL-046","sql_tag","server/articleDataHelper.ts","77","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","count: sql<number>`COUNT(*)`,","not_started"
"S1-SQL-047","sql_tag","server/articleDataHelper.ts","88","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".orderBy(desc(sql`COUNT(*)`))","not_started"
"S1-SQL-048","execute_call","server/batchTaskManager.ts","137","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-049","sql_tag","server/batchTaskManager.ts","137","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-050","execute_call","server/batchTaskManager.ts","156","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-051","sql_tag","server/batchTaskManager.ts","156","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-052","execute_call","server/batchTaskManager.ts","181","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-053","sql_tag","server/batchTaskManager.ts","181","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-054","execute_call","server/batchTaskManager.ts","204","Identity & user experience","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-055","sql_tag","server/batchTaskManager.ts","204","Identity & user experience","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-056","execute_call","server/batchTaskManager.ts","220","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-057","sql_tag","server/batchTaskManager.ts","220","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`","not_started"
"S1-SQL-058","sql_tag","server/batchTaskManager.ts","397","Marketplace & transactions","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".select({ count: sql<number>`COUNT(*)` })","not_started"
"S1-SQL-059","sql_tag","server/batchTaskManager.ts","486","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${scheduledTasks.status} NOT IN ('running', 'paused')`","not_started"
"S1-SQL-060","sql_tag","server/batchTaskManager.ts","654","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${scheduledTasks.createdAt} >= ${sevenDaysAgo}`,","not_started"
"S1-SQL-061","sql_tag","server/blogDb.ts","41","Marketplace & transactions","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".select({ count: sql<number>`COUNT(*)` })","not_started"
"S1-SQL-062","execute_call","server/blogDb.ts","234","Marketplace & transactions","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`UPDATE ${posts} SET \`viewCount\` = \`viewCount\` + 1 WHERE \`slug\` = ${slug}`);","not_started"
"S1-SQL-063","sql_tag","server/blogDb.ts","234","Marketplace & transactions","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(sql`UPDATE ${posts} SET \`viewCount\` = \`viewCount\` + 1 WHERE \`slug\` = ${slug}`);","not_started"
"S1-SQL-064","sql_tag","server/blogDb.ts","423","Content & media metadata","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","count: sql<number>`COUNT(*)`.as('count'),","not_started"
"S1-SQL-065","sql_tag","server/blogDb.ts","455","Content & media metadata","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","count: sql<number>`COUNT(*)`.as('count'),","not_started"
"S1-SQL-066","sql_tag","server/collection.ts","210","Marketplace & transactions","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","? and(eq(userCollections.userId, userId), sql`${userCollections.tradedAt} IS NOT NULL`)","not_started"
"S1-SQL-067","execute_call","server/db.ts","132","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const queryPromise = db.execute(sql`","not_started"
"S1-SQL-068","sql_tag","server/db.ts","132","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const queryPromise = db.execute(sql`","not_started"
"S1-SQL-069","sql_tag","server/db.ts","616","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","and(whereCondition, sql`${cards.id} NOT IN (${sql.raw(candidateArray.join(','))})`)","not_started"
"S1-SQL-070","execute_call","server/db.ts","1131","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const result = await db.execute(sql`SELECT APPROX_COUNT_DISTINCT(id) as c FROM cards`) as any;","not_started"
"S1-SQL-071","sql_tag","server/db.ts","1131","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const result = await db.execute(sql`SELECT APPROX_COUNT_DISTINCT(id) as c FROM cards`) as any;","not_started"
"S1-SQL-072","sql_tag","server/db.ts","1430","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".select({ count: sql<number>`count(*)` })","not_started"
"S1-SQL-073","sql_tag","server/db.ts","1452","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","ebayLastUpdatedAt: sql<Date | null>`(","not_started"
"S1-SQL-074","sql_tag","server/db.ts","1996","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","set: { id: sql`id`, recordHash: sql`VALUES(recordHash)` },","not_started"
"S1-SQL-075","sql_tag","server/db.ts","1996","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","set: { id: sql`id`, recordHash: sql`VALUES(recordHash)` },","not_started"
"S1-SQL-076","sql_tag","server/db.ts","2047","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const totalSearches = await db.select({ count: sql<number>`count(*)` }).from(searchStats);","not_started"
"S1-SQL-077","sql_tag","server/db.ts","2050","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const imageSearches = await db.select({ count: sql<number>`count(*)` })","not_started"
"S1-SQL-078","sql_tag","server/db.ts","2055","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const textSearches = await db.select({ count: sql<number>`count(*)` })","not_started"
"S1-SQL-079","sql_tag","server/db.ts","2060","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const avgImageDuration = await db.select({ avg: sql<number>`avg(searchDuration)` })","not_started"
"S1-SQL-080","sql_tag","server/db.ts","2065","Operations & platform","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const avgTextDuration = await db.select({ avg: sql<number>`avg(searchDuration)` })","not_started"
"S1-SQL-081","sql_tag","server/db.ts","2070","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const successfulSearches = await db.select({ count: sql<number>`count(*)` })","not_started"
"S1-SQL-082","execute_call","server/db.ts","2348","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await (db as any).execute(sql`","not_started"
"S1-SQL-083","sql_tag","server/db.ts","2348","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await (db as any).execute(sql`","not_started"
"S1-SQL-084","execute_call","server/db.ts","2467","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await (db as any).execute(sql`","not_started"
"S1-SQL-085","sql_tag","server/db.ts","2467","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await (db as any).execute(sql`","not_started"
"S1-SQL-086","execute_call","server/db.ts","2586","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await (db as any).execute(sql`","not_started"
"S1-SQL-087","sql_tag","server/db.ts","2586","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [rows] = await (db as any).execute(sql`","not_started"
"S1-SQL-088","sql_tag","server/db.ts","2670","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [cardCount] = await db.select({ count: sql<number>`COUNT(*)` }).from(cards);","not_started"
"S1-SQL-089","sql_tag","server/db.ts","2671","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const [priceCount] = await db.select({ count: sql<number>`COUNT(*)` }).from(priceHistory);","not_started"
"S1-SQL-090","sql_tag","server/db.ts","2672","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","// const [searchCount] = await db.select({ count: sql<number>`COUNT(*)` }).from(userSearchLogs);","not_started"
"S1-SQL-091","sql_tag","server/db.ts","2681","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","priceChange: sql<number>`((MAX(${priceHistory.price}) - MIN(${priceHistory.price})) / MIN(${priceHistory.price}) * 100)`,","not_started"
"S1-SQL-092","sql_tag","server/db.ts","2686","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".having(sql`COUNT(*) >= 2`);","not_started"
"S1-SQL-093","sql_tag","server/db.ts","2880","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} IS NOT NULL`,","not_started"
"S1-SQL-094","sql_tag","server/db.ts","2932","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} IS NOT NULL`","not_started"
"S1-SQL-095","sql_tag","server/db.ts","2961","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} IS NOT NULL`","not_started"
"S1-SQL-096","sql_tag","server/db.ts","2999","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} < ${trendCutoffDate}`,","not_started"
"S1-SQL-097","sql_tag","server/db.ts","3000","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} IS NOT NULL`","not_started"
"S1-SQL-098","sql_tag","server/db.ts","3139","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".orderBy(desc(sql`MAX(${userSearchLogs.createdAt})`));","not_started"
"S1-SQL-099","sql_tag","server/db.ts","3160","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","viewCount: sql<number>`COUNT(*)`.as('viewCount'),","not_started"
"S1-SQL-100","sql_tag","server/db.ts","3165","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".orderBy(desc(sql`COUNT(*)`), desc(sql`MAX(${userSearchLogs.createdAt})`))","not_started"
"S1-SQL-101","sql_tag","server/db.ts","3165","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".orderBy(desc(sql`COUNT(*)`), desc(sql`MAX(${userSearchLogs.createdAt})`))","not_started"
"S1-SQL-102","sql_tag","server/db.ts","3191","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","searchCount: sql<number>`COUNT(*)`.as('searchCount'),","not_started"
"S1-SQL-103","sql_tag","server/db.ts","3198","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".having(sql`COUNT(*) >= 3`) // Minimum 3 searches to qualify (lowered from 10)","not_started"
"S1-SQL-104","sql_tag","server/db.ts","3199","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".orderBy(desc(sql`COUNT(*)`))","not_started"
"S1-SQL-105","sql_tag","server/db.ts","3275","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} IS NOT NULL`,","not_started"
"S1-SQL-106","sql_tag","server/db.ts","3394","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`${priceHistory.soldAt} IS NOT NULL`,","not_started"
"S1-SQL-107","sql_tag","server/db.ts","3757","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".select({ count: sql<number>`COUNT(*)` })","not_started"
"S1-SQL-108","sql_tag","server/db.ts","3843","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const countResult = await db.select({ count: sql<number>`COUNT(*)` }).from(snkrdunkListingsCache);","not_started"
"S1-SQL-109","execute_call","server/db.ts","3910","TCG catalog","raw_select","Review casts, joins, order and pagination semantics",".execute();","not_started"
"S1-SQL-110","sql_tag","server/db.ts","3990","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".orderBy(sql`RAND()`)","not_started"
"S1-SQL-111","sql_tag","server/db.ts","4012","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","count: sql<number>`count(*)`,","not_started"
"S1-SQL-112","sql_tag","server/db.ts","4131","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const result = await db.select({ count: sql<number>`count(*)` }).from(dataSources);","not_started"
"S1-SQL-113","sql_tag","server/db.ts","4148","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".select({ count: sql<number>`count(*)` })","not_started"
"S1-SQL-114","execute_call","server/db.ts","4171","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const result = await db.execute(sql`SELECT TABLE_ROWS FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME = 'priceHistory'`) as any;","not_started"
"S1-SQL-115","sql_tag","server/db.ts","4171","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const result = await db.execute(sql`SELECT TABLE_ROWS FROM information_schema.TABLES WHERE TABLE_SCHEMA = DATABASE() AND TABLE_NAME = 'priceHistory'`) as any;","not_started"
"S1-SQL-116","sql_tag","server/db.ts","4403","Marketplace & transactions","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","? sql`(${sellerProfiles.displayName} LIKE ${`%${search}%`} OR ${usersAlias.email} LIKE ${`%${search}%`} OR ${usersAlias.name} LIKE ${`%${search}%`})`","not_started"
"S1-SQL-117","sql_tag","server/db.ts","4413","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting",".select({ count: sql<number>`count(*)` })","not_started"
"S1-SQL-118","sql_tag","server/db.ts","4448","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","if (minPrice != null) conditions.push(sql`${marketplaceListings.priceHkd} >= ${minPrice}`);","not_started"
"S1-SQL-119","sql_tag","server/db.ts","4449","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","if (maxPrice != null) conditions.push(sql`${marketplaceListings.priceHkd} <= ${maxPrice}`);","not_started"
"S1-SQL-120","sql_tag","server/db.ts","4479","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const countRows = await db.select({ count: sql<number>`count(*)` }).from(marketplaceListings).where(and(...conditions));","not_started"
"S1-SQL-121","sql_tag","server/db.ts","4484","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","count: sql<number>`count(*)`","not_started"
"S1-SQL-122","execute_call","server/db.ts","4577","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const result = await db.execute(","not_started"
"S1-SQL-123","sql_tag","server/db.ts","4578","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`UPDATE marketplaceListings","not_started"
"S1-SQL-124","execute_call","server/db.ts","4599","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","await db.execute(","not_started"
"S1-SQL-125","sql_tag","server/db.ts","4600","TCG catalog","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","sql`UPDATE marketplaceListings","not_started"
"S1-SQL-126","sql_tag","server/db.ts","4620","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","const countRows = await db.select({ count: sql<number>`count(*)` }).from(marketplaceListings)","not_started"
"S1-SQL-127","sql_tag","server/db.ts","4747","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","conditions.push(sql`${marketplaceOrders.createdAt} >= ${new Date(dateFrom).getTime()}`);","not_started"
"S1-SQL-128","sql_tag","server/db.ts","4753","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","conditions.push(sql`${marketplaceOrders.createdAt} < ${endDate.getTime()}`);","not_started"
"S1-SQL-129","sql_tag","server/db.ts","4759","Pricing & market data","identifier_quoting","Remove MySQL backticks; use Drizzle identifiers or PostgreSQL quoting","conditions.push(sql`${marketplaceOrders.payoutStatus} NOT IN ('paid', 'not_applicable')`);","not_started"
